BP0015 Student Visa Grant Rates Report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Age Group,(All),,,,,,,,,,,,,,,,,,,,,
Citizenship Country,(All),,,,,,,,,,,,,,,,,,,,,
Client Location,(All),,,,,,,,,,,,,,,,,,,,,
Education Provider Registered State,(All),,,,,,,,,,,,,,,,,,,,,
Financial Year Quarter,(All),,,,,,,,,,,,,,,,,,,,,
Gender,(All),,,,,,,,,,,,,,,,,,,,,
Lodgement Channel,(All),,,,,,,,,,,,,,,,,,,,,
Month,(All),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Sum of Grant Rate,,Financial Year of Decision,,,,,,,,,,,,,,,,,,,,
Applicant Type,Sector,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26 to 31 May 2026
,Vocational Education and Training Sector,0.92584610203738,0.9322093431682473,0.9218822082115946,0.8911960132890365,0.78942740811882,0.8885145228215767,0.8507114643316043,0.8897938701459122,0.8952433526543381,0.89191676802209,0.8450344289060836,0.8384198335327208,0.8193596285762088,0.8009914618947525,0.8697221450996305,0.9436073225877033,0.8403781979977754,0.7700994923370498,0.6144057864246727,0.581377211131211,0.5204496389488573
Primary Total,,0.9588112475934814,0.9642562087207365,0.947476851586911,0.9280994373057865,0.8994329584791558,0.936677339025258,0.9101997735842633,0.9373105081011072,0.9377426985850952,0.9245428728015544,0.9109047642820295,0.9211875753316109,0.9104165869288264,0.9023643567682289,0.9235197706035236,0.9571695512930548,0.9187262981547877,0.8571997118056747,0.8018517936683255,0.8324405598553681,0.7917488858016771
Secondary,Foreign Affairs or Defence Sector,0.9896551724137931,0.9876873661670236,0.9849974133471289,0.9850746268656716,0.9850649350649351,0.9733412322274881,0.956168097605061,0.9684354986276303,0.9713292788879235,0.9862689393939394,0.9702127659574468,0.9659168370824812,0.9774011299435028,0.9736842105263158,0.9896421845574388,0.9205020920502092,0.9519650655021834,0.963258785942492,0.957983193277311,0.9823788546255506,0.9582938388625593
,Higher Education Sector,0.9221525600835946,0.9444601603017445,0.92931237965091,0.9007289135716765,0.8899849397590361,0.8993787922565732,0.83856201171875,0.8928835717809571,0.9092952399980021,0.8832380238117559,0.8749521805661821,0.8927183208084997,0.8878038035098025,0.8872643199062165,0.8629005371365067,0.8484134682000831,0.901982938817016,0.8706776696416558,0.8045177277926039,0.8398004434589801,0.8012283640424344
,Independent ELICOS Sector,0.9361861861861862,0.9173703256936068,0.9208059981255857,0.9330310429019881,0.9108440469536053,0.8826058201058201,0.8981804103755323,0.8951640175853905,0.9052079430498314,0.9033715676051443,0.8831501831501831,0.8157429245283019,0.8143340857787811,0.8593085106382978,0.8784949948222299,0.967654986522911,0.8419773095623987,0.9155234657039711,0.7659204520756357,0.7721021611001965,0.710926694329184
,Non-Award Sector,0.972027972027972,0.9929078014184397,0.914179104477612,0.8771929824561403,0.8703703703703703,0.8705035971223022,0.875,0.968421052631579,0.9640287769784173,0.9069767441860465,0.9666666666666667,0.875,0.9591836734693877,0.958904109589041,0.8833333333333333,1,0.8333333333333334,0.9032258064516129,0.7391304347826086,0.9047619047619048,0.8775510204081632
,Postgraduate Research Sector,0.966991341991342,0.9696668324216807,0.9777034559643255,0.9746192893401016,0.9767857142857143,0.9832065074783521,0.9779396016277575,0.976926425772747,0.9864649681528662,0.9782383419689119,0.9580517361920299,0.9673568818514008,0.9573449401523395,0.9301835055895381,0.9661259541984732,0.971000935453695,0.9674351585014409,0.9630128781072177,0.9654427645788337,0.9607963875205254,0.9333233218200931
,Schools Sector,0.88,0.6511627906976745,0.62,0.8,0.5370370370370371,0.7575757575757576,0.5,0.3,0.3333333333333333,0.14285714285714285,0.2,0.25,0.1,0,0.2,0.5,0.3333333333333333,0.15384615384615385,0.5,0.5,0
,Vocational Education and Training Sector,0.910752688172043,0.9025480554313813,0.9029116045245078,0.8354119896898645,0.6662929563733854,0.8552493681030763,0.8705581047913776,0.8788968824940048,0.8700950170450424,0.8595936794582393,0.8428594046865104,0.8120072771376592,0.8040161689920459,0.8286066584463625,0.8237583760346866,0.9057531253792936,0.846103375373624,0.8576535925026033,0.6357568103914848,0.5470038482682793,0.5387914816765746
Secondary Total,,0.9345950817561478,0.9393269230769231,0.9277266754270697,0.878225643103099,0.7960002784028954,0.8908410732714138,0.8758242986475914,0.9020108601324044,0.9088757934973039,0.8924738425614083,0.8781467911594374,0.8724289804007928,0.8667470663680392,0.873235108326362,0.8595852775325634,0.8827770862202597,0.8865328585302686,0.8781644316188536,0.7689123779225888,0.7422603562898392,0.7552007825190826
