,,,,,,,,,,,
,Time Series Workbook,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"6202.0 Labour Force, Australia",,,,,,,,,,
,"Table 010. Labour force status by Sex, State and Territory - Trend, Seasonally adjusted and Original",,,,,,,,,,
,,,,,,,,,,,
,,,Enquiries,,,,,,,,
,,,,,,,,,,,
Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month
,,,,,,,,,,,
Employed total ;  > Females ;  > Victoria ;,,,Seasonally Adjusted,A84423461V,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Victoria ;,,,Original,A84423797X,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Queensland ;,,,Trend,A84424063F,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Queensland ;,,,Seasonally Adjusted,A84423391X,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Queensland ;,,,Original,A84423727T,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > South Australia ;,,,Trend,A84424147R,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > South Australia ;,,,Seasonally Adjusted,A84423475J,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > South Australia ;,,,Original,A84423811J,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Western Australia ;,,,Trend,A84424105T,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Western Australia ;,,,Seasonally Adjusted,A84423433K,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Western Australia ;,,,Original,A84423769R,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Tasmania ;,,,Trend,A84424077V,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
Employed total ;  > Females ;  > Tasmania ;,,,Seasonally Adjusted,A84423405A,1978-02-01 00:00:00,2026-06-01 00:00:00,581,000,STOCK,Month,1
